egiftID,Main_id
AB0488,92635-9
AB0489,92888-1
AB0490,92957-6
AB0492,93180-7
AB0493,93263-1
AB0494,93385-0
AB0495,93483-3
AB0496,93571-9
AB0497,93691-2
AB0498,94184-2
AB0499,94296-4
AB0500,94361-7
AB0501,94362-0
AB0502,94618-0
AB0503,94685-0
AB0504,94737-0
AB0505,95056-1
AB0506,95156-0
AB0507,95201-9
AB0508,95236-5
AB0509,95243-3
AB0510,95245-9
AB0511,95283-1
AB0512,95351-3
AB0513,95418-5
AB0514,95488-4
AB0515,95697-6
AB0516,95815-2
AB0517,96394-3
AB0518,97142-7
AB0519,97271-4
AB0520,97322-1
AB0522,97488-0
AB0523,97519-3
AB0524,97729-8
AB0525,97778-0
AB0526,97802-2
AB0527,97864-0
AB0528,97950-0
AB0530,98615-3
AB0531,98637-3
AB0533,98876-6
AB0534,99070-9
AB0535,99193-1
AB0537,10044-A
AB0539,10194-A
AB0541,10224-A
AB0542,10418-A
AB0543,10694-A
AB0544,10712-A
AB0545,10746-A
AB0546,10772-A
AB0547,10922-A
AB0548,10977-A
AB0549,11396-A
AB0550,11711-A
AB0551,11724-A
AB0553,12231-A
AB0554,12321-A
AB0555,12541-A
AB0556,12588-A
AB0557,12596-A
AB0558,13175-A
AB0559,13364-A
AB0560,13505-A
AB0561,13590-A
AB0562,13742-A
AB0563,13945-A
AB0564,13948-A
AB0566,14034-A
AB0567,14226-A
AB0568,14266-A
AB0569,14459-A
AB0570,14726-A
AB0571,14826-A
AB0572,15022-A
AB0573,15307-A
AB0574,15443-A
AB0575,15540-A
AB0576,15565-A
AB0577,15583-A
AB0578,15771-A
AB0579,15842-A
AB0580,15873-A
AB0581,16282-A
AB0582,16669-A
AB0583,16723-A
AB0584,16826-A
AB0585,16960-A
AB0586,17150-A
AB0587,17439-A
AB0588,17548-A
AB0589,17620-A
AB0590,17860-A
AB0591,17883-A
AB0592,17908-A
AB0593,17931-A
AB0594,17937-A
AB0595,18213-A
AB0596,18392-A
AB0598,18603-A
AB0599,18644-A
AB0600,18865-A
AB0601,19179-A
AB0602,19189-A
AB0603,19441-A
AC0001,00297-2
AC0002,00306-5
AC0003,00310-4
AC0004,00343-4
AC0005,00375-1
AC0006,00387-4
AC0007,00395-5
AC0008,00479-2
AC0009,00503-4
AC0010,00517-3
AC0011,02978-0
AC0012,04569-6
AC0013,05292-2
AC0015,05864-1
AC0016,06111-7
AC0017,06937-1
AC0018,07425-6
AC0019,09791-6
AC0020,10062-5
AC0021,10687-8
AC0022,11153-3
AC0023,11481-5
AC0024,11834-5
AC0025,12121-9
AC0026,12156-5
AC0027,12776-3
AC0028,14044-9
AC0029,14047-8
AC0030,14164-2
AC0032,14593-6
AC0033,14646-9
AC0034,14672-8
AC0035,15002-8
AC0038,15369-8
AC0040,15684-4
AC0041,15874-5
AC0042,15935-9
AC0043,16216-8
AC0044,16353-6
AC0045,16411-1
AC0046,16532-7
AC0048,17199-7
AC0050,18843-0
AC0051,19793-9
AC0052,20171-5
AC0057,22297-2
AC0058,22503-4
AC0059,22586-9
AC0060,22652-5
AC0061,22819-6
AC0062,22936-0
AC0063,22938-6
AC0066,25089-2
AC0067,25214-6
AC0068,23665-4
AC0069,23869-4
AC0071,16642-3
AC0072,24089-9
AC0074,26399-9
AC0075,27521-7
AC0076,27692-8
AC0077,29320-2
AC0078,29398-5
AC0079,26443-5
AC0080,30094-6
AC0081,30150-5
AC0084,24618-1
AC0085,30232-6
AC0086,30769-3
AC0087,26629-7
AC0088,31316-6
AC0089,31331-5
AC0090,31355-1
AC0092,31446-6
AC0093,31519-3
AC0095,32065-4
AC0096,32131-0
AC0097,32392-3
AC0098,35026-8
AC0099,32438-8
AC0100,32886-3
AC0101,33006-8
AC0104,33076-7
AC0106,35596-2
AC0107,33414-5
AC0108,33767-6
AC0109,35652-1
AC0110,33914-0
AC0111,33985-2
AC0112,34006-1
AC0113,34525-7
AC0114,34812-8
AC0115,35686-4
AC0116,36151-6
AC0117,36260-9
AC0118,38097-9
AC0119,38104-6
AC0120,36717-0
AC0122,37427-3
AC0123,37497-2
AC0124,37797-9
AC0125,37806-2
AC0126,37820-8
AC0127,37854-1
AC0128,40009-5
AC0129,40131-1
AC0131,40196-8
AC0132,40331-9
AC0133,40424-0
AC0134,28133-7
AC0135,40529-4
AC0136,40603-1
AC0137,40743-8
