FundraisedAmount,Main_ID,Description,EventYear
"6,000",98345-7,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"13,804.2",98546-8,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"7,775",97350-6,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,242.12",67327-5,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",11227-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,945",11010-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",11654-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,100",12515-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"14,030.2",31685-9,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,075",66746-9,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,660.98",93796-6,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,471",13209-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"53,860.1",22320-1,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",99323-0,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,025",12033-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"16,388",93854-1,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"7,565",97228-0,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,150",38719-2,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,485",69487-2,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,100",61739-6,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"7,475",83192-3,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,566.39",12514-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,440",97286-6,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"42,085.79",12658-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"9,690",26060-4,"Bourne to Provincetown Monument (1-Day, Sun)",2022
600,26060-4,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"7,407",97396-2,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,762",76187-3,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"8,360.6",80461-7,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",86657-4,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"13,690",11353-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",11482-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,000",11580-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"6,500",11620-A,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"15,095.28",92920-4,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"12,029.75",97272-7,"Bourne to Provincetown Monument (1-Day, Sun)",2022
"2,000",11503-A,Reimagined,2022
"5,230",11874-A,Reimagined,2022
"6,000",40485-5,Reimagined,2022
"2,340",65819-3,Reimagined,2022
"3,075",77892-1,Reimagined,2022
"4,715",93225-9,Reimagined,2022
"2,000",13680-A,Reimagined,2022
"4,000",11766-A,Reimagined,2022
"2,370",11879-A,Reimagined,2022
"3,075",35957-3,Reimagined,2022
"4,000",93075-6,Reimagined,2022
"6,215.18",93237-2,Reimagined,2022
"6,000",13566-1,Reimagined,2022
"2,000",13785-A,Reimagined,2022
"2,750",31295-0,Reimagined,2022
"6,171.4",39883-5,Reimagined,2022
"3,000",13552-2,Reimagined,2022
"2,000",13601-A,Reimagined,2022
"3,655.6",31385-2,Reimagined,2022
"3,300",52605-0,Reimagined,2022
"3,530",65953-2,Reimagined,2022
"2,810",66162-7,Reimagined,2022
"4,000",71858-3,Reimagined,2022
"39,450",80117-3,Reimagined,2022
"5,000",84552-4,Reimagined,2022
"2,000",86168-9,Reimagined,2022
"10,185.1",03299-7,Reimagined,2022
"6,263.55",10052-A,Reimagined,2022
"4,000",13574-2,Reimagined,2022
"2,480",13773-A,Reimagined,2022
"3,305",13803-A,Reimagined,2022
"2,614",31281-1,Reimagined,2022
"20,875",31575-3,Reimagined,2022
"6,000",48879-0,Reimagined,2022
"9,950",52591-2,Reimagined,2022
"20,000",65920-2,Reimagined,2022
"9,500",66127-4,Reimagined,2022
"7,576",79832-5,Reimagined,2022
"6,000",79930-8,Reimagined,2022
"2,180",91395-1,Reimagined,2022
"9,750",01344-0,Reimagined,2022
"2,000",10578-A,Reimagined,2022
